ID,Date/Time,Total Play Time,Total # moves,#galleries,self avoidance,#clusters,exp efficiency,scav efficiency,median exp steps,median scav steps,max dt,Average Speed,% galleries in exp,% time in exp,efficiency ratio,exp speed,scav speed,Step Orig,% steps uniquely covered,Gallery Orig,Gallery Orig exp,Gallery Orig scav,% galleries uniquely covered,% galleries uniquely covered exp,% galleries uniquely covered scav,# clusters in GC,% clusters in GC,Step Orig (sample),% steps uniquely covered (sample),Gallery Orig (sample),Gallery Orig exp (sample),Gallery Orig scav (sample),% galleries uniquely covered (sample),% galleries uniquely covered exp (sample),% galleries uniquely covered scav (sample),# clusters in GC (sample),% clusters in GC (sample)
000001,2024-07-06T21:45:54.782000,719.202,293,41,0.915129151,8,0.5208333333333333,0.5,15,15.5,8.132000000000001,0.40739597498338437,0.1951219512195122,0.5780698607623448,1.0416666666666665,0.39446877803674824,0.4251070182202844,4.1610273222946885,0.44402985074626866,3.3581061700930106,3.2982743965707177,3.372610842462052,0.076923077,0.125,0.060606061,6,0.75,4.192279335970566,0.791044776,3.779971820732401,3.7099106544304767,3.796956345896504,0.20512820512820518,0.125,0.21212121212121215,4,0.5
Test2,2024-10-13T18:31:55.391000,719.682,222,50,0.9444444444444444,9,1,0.75,9,14,78.00399999999996,0.3084695740618773,0.1,0.5256502177350554,1.3333333333333333,0.2405491923098273,0.38373547444058115,4.309843357656883,0.613953488,3.800771221167318,3.9867379925360047,3.780108246570798,0.18367346938775508,0.19999999999999996,0.18181818181818177,5,0.5555555555555556,4.2045999791988375,0.8186046511627907,3.927574278159598,4.127307850983765,3.905381658956913,0.4285714285714286,0.4,0.43181818181818177,3,0.3333333333333333
  ywsSnI ,2024-11-25T09:43:15.493000,716.71,151,19,0.918918919,3,0.5777777777777777,0.4166666666666667,20.5,26,20.75699999999999,0.2106849353294917,0.3157894736842105,0.5890346165115597,1.3866666666666665,0.1894984686155005,0.24105139147764504,4.271124375880884,0.5374149659863945,4.3501916576202095,4.225266798227836,4.407849285032072,0.42105263157894735,0.33333333333333337,0.46153846153846156,0,0,4.1988961212605505,0.7891156462585034,4.132283034524602,4.072284896710171,4.159974482746646,0.631578947,0.6666666666666667,0.6153846153846154,0,0
  WF2zDd,2024-11-25T10:45:13.088000,718.682,192,21,0.9392265193370166,5,0.5,0.5,12,25,23.53000000000003,0.26715571003587124,0.19047619047619047,0.4590848247208084,1,0.2606566121914553,0.2726716159137329,4.335053846170755,0.6055555555555556,3.8477710443773097,3.7428791068218263,3.8724515002727173,0.33333333333333337,0.25,0.3529411764705882,1,0.2,4.209261984209129,0.8111111111111111,3.9887365127582757,3.9190519386499023,4.0051328831367154,0.38095238095238093,0.25,0.4117647058823529,0,0
  AVQAV3,2024-11-25T14:49:25.755000,720.849,190,55,0.8846153846153846,11,0.6333333333333333,1,5.5,6,18.224999999999966,0.2635780863953477,0.18181818181818182,0.6312875512069794,0.6333333333333333,0.24611976803211863,0.29346918197346733,4.1755035731822625,0.4388888888888889,3.586551157057765,3.264555105,3.6581058353414444,0.13725490196078427,0,0.16279069767441856,7,0.6363636363636364,4.186909593,0.75,3.842048922096616,3.6108963688853315,3.893416156143568,0.3529411764705882,0.1,0.39534883720930236,4,0.36363636363636365
  ChXIQE,2024-11-25T15:20:31.344000,721.315,151,46,0.9701492537313433,8,1,0.75,6,9.5,25.107,0.2093398861801016,0.065217391,0.4460436841047255,1.3333333333333333,0.18337902268305262,0.23024348248272553,4.134692735460459,0.443609023,3.500508140774354,3.009351720698343,3.534774867756401,0.090909091,0,0.095238095,6,0.75,4.176324190870757,0.736842105,3.8251657629897777,3.612924816413385,3.8399732708904555,0.20454545454545459,0,0.2142857142857143,3,0.375
9njfJR,2024-11-26T09:12:56.066000,714.703,252,93,0.8588709677419355,14,0.8166666666666667,1,7,11,11.270999999999999,0.3525940145766843,0.13978494623655913,0.44148548418014183,0.8166666666666667,0.3391108956013832,0.3632519314982012,4.191393482683907,0.43388429752066116,3.8036196977213335,3.6788462789340053,3.823895378274274,0.1325301204819277,0.076923077,0.136986301,9,0.6428571428571429,4.191230549000244,0.7479338842975207,3.9522336018897017,3.885384754875472,3.963096539529514,0.3855421686746988,0.23076923076923073,0.3972602739726028,5,0.35714285714285715
zwWAyy,2024-11-26T09:46:50.023000,720.881,291,28,0.9436619718309859,5,0.4642857142857143,0.4017857142857143,35,13,20.53200000000004,0.4036727282311505,0.35714285714285715,0.6487825313748038,1.1555555555555554,0.3998332246442661,0.4107652081868664,4.373061758340195,0.6914893617021276,3.8854588232234355,4.109662091882109,3.760901451746394,0.25,0.4,0.16666666666666663,2,0.4,4.226651527028117,0.875886525,3.9938757099294797,4.048632708769209,3.963455155018518,0.4642857142857143,0.5,0.4444444444444444,0,0
DkcybF,2024-11-28T12:15:20.476000,719.363,221,68,0.9292452830188679,13,0.75,1,7,9,24.178999999999974,0.3072162454838517,0.16176470588235295,0.5649943074636867,0.75,0.26080366896633167,0.3674978509364804,4.131074131227171,0.4691943127962085,3.7205963857211644,3.8624651057290076,3.693218211684563,0.18181818181818177,0.19999999999999996,0.1785714285714286,8,0.6153846153846154,4.186971624960138,0.7298578199052133,3.921651836336263,3.968170932,3.9126744669393614,0.40909090909090906,0.5,0.3928571428571429,3,0.23076923076923078
4zw0DO,2024-11-28T12:51:25.407000,720.943,216,39,0.9512195121951219,4,0.75,1,19,21.5,10.696000000000026,0.2996075972719064,0.3076923076923077,0.6325271207293781,0.75,0.29384933861969753,0.30951922605094995,4.189768576404219,0.4362745098039216,3.215670947349513,3.4513820923461576,3.110910438462115,0.026315789,0.083333333,0,4,1,4.183376222208172,0.7303921568627452,3.6922059934010565,3.9198517524635306,3.5910301004844007,0.13157894736842102,0.25,0.076923077,3,0.75
