Subject_ID,Total_Shapes_Logged,Illegal_Steps_Count,Illegal_Percentage,Group,Platform
000001,333,4,1.2,,
Test,5,0,0,,
Test2,8,0,0,,
d,0,0,0,,
TEST2,271,1,0.37,,
e,2,0,0,,
AVQAV3,244,0,0,,
ywsSnI,169,1,0.59,,
WF2zDd,212,3,1.42,,
ChXIQE,196,0,0,,
9njfJR,344,0,0,,
zwWAyy,318,4,1.26,,
נסיון מור,2,0,0,,
DkcybF,288,1,0.35,,
4zw0DO,254,0,0,,
olpEYy,129,0,0,,
9jukD9,249,4,1.61,,
QElY1e,236,1,0.42,,
mYI3W1,276,5,1.81,,
uhLE7P,247,1,0.4,,
JWFJdD,344,1,0.29,,
7oW98a,393,23,5.85,,
Nv34Od,296,9,3.04,,
DYOJyZ,277,7,2.53,,
tBKJyj,331,1,0.3,,
WoB3UG,309,2,0.65,,
R7IOSD,253,0,0,,
XpJhGr,342,0,0,,
EDEWtP,297,5,1.68,,
B1RRkw,239,0,0,,
1TF3H9,329,7,2.13,,
GR6pWI,211,0,0,,
5FdTAz,270,5,1.85,,
RkzwMO,351,12,3.42,,
B6ju5z,195,0,0,,
BHj9rH,218,6,2.75,,
EG8LWj,275,2,0.73,,
YW513B,337,10,2.97,,
4fIbID,228,1,0.44,,
kUPjH0,305,3,0.98,,
52MCE2,215,0,0,,
QPKs1S,333,2,0.6,,
LtxLUe,323,2,0.62,,
EXAMPLE,378,10,2.65,,
uNzthJ,326,13,3.99,,
UL2058,422,8,1.9,,
cc4Mur,395,12,3.04,,
1e3j8l,302,16,5.3,,
46fj84,275,1,0.36,,
talerditest,4,0,0,,
3XeA64,339,12,3.54,,
obHWs2,250,8,3.2,,
XoUYK5,382,6,1.57,,
lgmeGb,279,8,2.87,,
yrcRhl,183,3,1.64,,
p3juAg,334,6,1.8,,
4KxP86,333,5,1.5,,
Y7u23q,413,8,1.94,,
ZCOnQ5,316,8,2.53,,
LA4bjr,359,10,2.79,,
x3BX3H,364,5,1.37,,
WekwE9,275,8,2.91,,
cL5U0l,246,1,0.41,,
jUleiG,278,11,3.96,,
emzHyS,351,4,1.14,,
999999,19,0,0,,
vQtQiu,194,1,0.52,,
NqOPTt,248,0,0,,
lkQZDf,213,0,0,,
w30KjT,293,6,2.05,,
lgAYMdeU,306,5,1.63,,
onRQQXIH,356,10,2.81,,
