Subject_ID,Total_Shapes_Logged,Illegal_Steps_Count,Illegal_Percentage,Group,Platform
AVQAV3,244,0,0,ADHD,במעבדה
ywsSnI,169,1,0.59,,
WF2zDd,212,3,1.42,TD,במעבדה
ChXIQE,196,0,0,ADHD,במעבדה
9njfJR,344,0,0,TD,במעבדה
zwWAyy,318,4,1.26,ADHD,במעבדה
נסיון מור,2,0,0,,
DkcybF,288,1,0.35,ADHD,במעבדה
4zw0DO,254,0,0,ADHD,במעבדה
olpEYy,129,0,0,ADHD,במעבדה
9jukD9,249,4,1.61,TD,במעבדה
QElY1e,236,1,0.42,TD,במעבדה
mYI3W1,276,5,1.81,TD,במעבדה
uhLE7P,247,1,0.4,,במעבדה
JWFJdD,344,1,0.29,ADHD,במעבדה
7oW98a,393,23,5.85,ADHD,במעבדה
Nv34Od,296,9,3.04,TD,במעבדה
DYOJyZ,277,7,2.53,ADHD,במעבדה
tBKJyj,331,1,0.3,ADHD,במעבדה
WoB3UG,309,2,0.65,ADHD,במעבדה
R7IOSD,253,0,0,TD,במעבדה
XpJhGr,342,0,0,ADHD,במעבדה
EDEWtP,297,5,1.68,,במעבדה
B1RRkw,239,0,0,ADHD,במעבדה
1TF3H9,329,7,2.13,TD,במעבדה
GR6pWI,211,0,0,TD,במעבדה
5FdTAz,270,5,1.85,ADHD,במעבדה
RkzwMO,351,12,3.42,TD,במעבדה
B6ju5z,195,0,0,TD,במעבדה
BHj9rH,218,6,2.75,ADHD,במעבדה
EG8LWj,275,2,0.73,,במעבדה
YW513B,337,10,2.97,TD,במעבדה
4fIbID,228,1,0.44,TD,במעבדה
kUPjH0,305,3,0.98,TD,במעבדה
52MCE2,215,0,0,ADHD,במעבדה
QPKs1S,333,2,0.6,TD,במעבדה
LtxLUe,323,2,0.62,ADHD,במעבדה
EXAMPLE,378,10,2.65,,
uNzthJ,326,13,3.99,TD,מקוון
UL2058,422,8,1.9,TD,במעבדה
cc4Mur,395,12,3.04,ADHD,במעבדה
1e3j8l,302,16,5.3,TD,במעבדה
46fj84,275,1,0.36,ADHD,במעבדה
talerditest,4,0,0,,
3XeA64,339,12,3.54,TD,במעבדה
obHWs2,250,8,3.2,ADHD,במעבדה
XoUYK5,382,6,1.57,ADHD,במעבדה
lgmeGb,279,8,2.87,TD,במעבדה
