imputed_moves,ID,
13,YW513B,
1,TeCqq9,
2,אורי,
2,pv54XYs0,
6,x3BX3H,
16,1e3j8l,
19,G839ms,
1,46fj84,
8,Y7u23q,
4,LSV8bI,
4,yrcRhl,
2,LtxLUe,
14,cc4Mur,
2,F3PYdt,
4,emzHyS,
2,XxhvBz,
22,kG7Y5M,
9,mkSJjy,
9,6aBPk4,
3,HMepuV,
2,eC06dywT,
3,vXm87u,
1,wCpBYv,
5,t4z8fx,
14,4zPN8R,
45,yktTkS,
5,Dpd4qr,
2,kPjb3e,
7,KRFF0w,
2,QElY1e,
1,ywsSnI,
1,cnXgb2,
4,uT2p5Kxu,
7,V3EJt8,
1,TEST2,
8,ekwUtx,
3,EVhG6aHF,
7,zwWAyy,
16,3XeA64,
18,EWaC5J,
1,WdtMYH,
11,YAfvZQ,
13,rmpKCM,
9,w30KjT,
1,FdwMSA,
9,957H63,
8,aWb5B4,
2,U5jUVr,
2,JWFJdD,
3,8ZapMM,
10,6aBPk4,
6,Zg3xvI,
1,vQtQiu,
5,e2yCyw,
9,p3juAg,
5,000001,
3,6m9vuK,
9,65FZVx,
11,jUleiG,
3,9CHQKL,
26,7oW98a,
2,V25QLT4f,
14,uNzthJ,
9,ZCOnQ5,
1,bvj9dk,
31,fzgsNA,
2,DpEDvT,
1,od8GVpsB,
11,obHWs2,
10,Nv34Od,
20,EXAMPLE,
14,XoUYK5,
3,QPKs1S,
5,lgAYMdeU,
10,onRQQXIH,
2,EG8LWj,
5,abZCyt,
1,x2GCd4,
2,DjbHGY,
2,x8Q5jE1h,
15,Tfxtuc,
12,zbSRj4,
3,WF2zDd,
19,FXaRR3,
10,UL2058,
12,LA4bjr,
12,6aBPk4,
3,9yzFQQ,
17,yDKkeH,
1,acrME7,
8,ooZSPZ,
28,VjY2BA,
4,RRMb53,
1,uhLE7P,
6,9JS4rf,
1,VE7CuF,
15,raK5i3,
2,DkcybF,
10,95xyap,
3,U7staN,
1,XaecKP,
1,R7IOSD,
14,RkzwMO,
8,6X37Nv,
5,9jukD9,
2,tBKJyj,
2,v2Kkb8,
7,326448545,
11,1TF3H9,
6,BHj9rH,
8,WekwE9,
8,UrghCw,
6,kUPjH0,
3,KGbWgG,
3,HZFCzD,
3,gxxTvD,
7,DnqxaP,
7,mYI3W1,
16,GJxEv8,
5,YrH8Pg,
1,27qTZY,
2,WoB3UG,
20,SAws6H,
5,bhgd2X,
5,4KxP86,
13,KHWkGA,
2,EY5GTz,
3,ThQbFX,
1,48p53b,
7,DYOJyZ,
11,xPZUwWmQ,
1,cL5U0l,
2,XpJhGr,
5,EDEWtP,
9,rmpKCM,
12,p2K35h,
2,t2ssnw,
3,K1E8m2,
7,lgmeGb,
6,5FdTAz,
1,eNSFpt,
3,9999,test
1,TSUVQf,
1,4fIbID,
4,999998,
21,dz2REE,
