ID,Date/Time,Total Play Time,Total # moves,#galleries,self avoidance,#clusters,exp efficiency,scav efficiency,median exp steps,median scav steps,max dt,robust_median_exploit_pace,robust_threshold_exploit_pace,Average Speed,% galleries in exp,% time in exp,efficiency ratio,exp speed,scav speed,Step Orig,% steps uniquely covered,Gallery Orig,Gallery Orig exp,Gallery Orig scav,% galleries uniquely covered,% galleries uniquely covered exp,% galleries uniquely covered scav,# clusters in GC,% clusters in GC,Step Orig (sample),% steps uniquely covered (sample),Gallery Orig (sample),Gallery Orig exp (sample),Gallery Orig scav (sample),% galleries uniquely covered (sample),% galleries uniquely covered exp (sample),% galleries uniquely covered scav (sample),# clusters in GC (sample),% clusters in GC (sample)
YW513B,2024-12-10T11:17:40.531000,719.159,283,55,0.9018181818181819,9,0.5714285714285714,0.8333333333333334,12.5,11,19.815999999999974,,,0.3935152031748195,0.2727272727272727,0.6462632046598875,0.6857142857142856,0.37868518781494337,0.42060905763916473,4.123329539658919,0.4237918215613383,3.5308719464795226,3.617218148,3.4984921209657798,0.12962962962962965,0.19999999999999996,0.1,7,0.7777777777777778,4.1279376688960205,0.620817844,3.7168157881974007,3.734244199070212,3.7102801341200973,0.20370370370370372,0.33333333333333337,0.15000000000000002,5,0.5555555555555556
אורי,2026-01-12T17:54:23.881000,718.753,197,34,0.9585492227979274,5,0.8,0.6666666666666666,13,22,19.28200000000004,,,0.27408581251139125,0.2647058823529412,0.5351880270412783,1.2000000000000002,0.24956585939043543,0.3023182722959725,4.136035826772329,0.38541666666666663,3.420547358850801,3.1166611968217044,3.5299463771812767,0.088235294,0,0.12,3,0.6,4.123008557526517,0.6354166666666667,3.6057291250973926,3.421835025789613,3.671931000848194,0.1470588235294118,0,0.19999999999999996,2,0.4
DrwD4V,2025-12-11T10:37:43.667000,716.359,90,20,0.8735632183908046,3,0.75,0.75,23,11,81.54499999999996,,,0.12563533088856285,0.4,0.6923023232764577,1,0.11896672359594061,0.1406393191242253,4.1751111783763335,0.41860465116279066,3.7957488588300476,3.3540599764212367,4.090208113769254,0.050000000000000044,0,0.083333333,1,0.3333333333333333,4.180173898039089,0.6744186046511628,3.9954602522354614,3.694542102,4.196072352716869,0.44999999999999996,0.125,0.6666666666666667,1,0.3333333333333333
8w28YG,2026-01-23T08:32:43.434000,716.038,112,19,0.9444444444444444,4,0.6904761904761905,0.7333333333333334,11,12.5,37.031000000000006,,,0.15641627958292717,0.10526315789473684,0.4554981718847323,0.9415584415584415,0.1502357781906707,0.16158652317099442,4.245317625453388,0.5238095238095238,3.2681550378816575,4.0676264703256875,3.1740995752411836,0.052631578947368474,0.5,0,4,1,4.167723221,0.7238095238095238,3.459587514081085,3.8770904851698873,3.4104695174824022,0,0,0,3,0.75
585dPD,2025-12-18T11:31:39.849000,717.924,212,17,0.9326424870466321,2,0.212406015,0.3333333333333333,36,61.5,14.456999999999994,,,0.2952958809010425,0.11764705882352941,0.39021400593934746,0.637218045,0.31769375749614476,0.2809630407967473,4.301021323968869,0.5208333333333333,3.6562593015257256,3.3580618164546996,3.6960189662018617,0.17647058823529416,0,0.19999999999999996,2,1,4.191648404019649,0.7916666666666666,3.8005634813865328,3.439121614695723,3.848755730278641,0.17647058823529416,0,0.19999999999999996,1,0.5
pv54XYs0,2025-01-16T22:42:30.958000,719.684,277,57,0.9053030303030303,11,0.7142857142857143,0.5634920634920635,8,10,8.978000000000002,,,0.38489114666992735,0.14035087719298245,0.4827535418322484,1.267605633802817,0.3684195377486114,0.4002643356417928,4.257907555699886,0.5703422053231939,3.7684543002281865,4.106208692669758,3.713310725952011,0.21052631578947367,0.375,0.18367346938775508,7,0.6363636363636364,4.1557159287527945,0.6653992395437263,3.852009866107893,3.9941465462957524,3.828803877505794,0.3157894736842105,0.75,0.24489795918367352,4,0.36363636363636365
skLjvwiT,2025-01-16T10:43:16.968000,719.247,200,70,0.8673469387755102,14,1,0.8,6,5.5,14.632000000000005,,,0.27806859117938626,0.21428571428571427,0.591283662,1.25,0.24454534552611346,0.32656615686061075,4.135899464431532,0.4248704663212435,3.718705119448165,3.851779504718371,3.6824121052835634,0.18461538461538463,0.2142857142857143,0.17647058823529416,9,0.6428571428571429,4.113333976852043,0.6010362694300518,3.7867470557808174,3.869703029759392,3.7641226992412045,0.3384615384615385,0.5714285714285714,0.27450980392156865,4,0.2857142857142857
YyLeol,2025-01-20T19:22:56.104000,717.394,239,47,0.8922413793103449,10,0.8333333333333334,0.6666666666666666,9,11,11.200999999999965,,,0.3331502633141621,0.19148936170212766,0.5342322350061472,1.2500000000000002,0.32876283414436863,0.33818261262528465,4.166926346135686,0.4035087719298246,3.4585143436088397,3.197166579202597,3.520412498336633,0.1333333333333333,0,0.16666666666666663,6,0.6,4.1551320194982635,0.7236842105263157,3.6430971503703184,3.4333057471370116,3.6927845879782075,0.2666666666666667,0.2222222222222222,0.2777777777777778,6,0.6
x3BX3H,2024-12-31T09:16:20.402000,718.596,322,42,0.9225806451612903,10,0.30434782608695654,0.6666666666666666,10,11,8.667,,,0.44809600944063144,0.071428571,0.5776862103323701,0.4565217391304348,0.42878857591605396,0.4745067930260679,4.255373767591709,0.5292207792207793,3.493887294065007,3.4211906865129733,3.499479340799779,0.047619048,0.33333333333333337,0.025641026,8,0.8,4.176235173426731,0.737012987,3.698713061206387,3.563852807037529,3.709086926911684,0.16666666666666663,0.33333333333333337,0.15384615384615385,3,0.3
1e3j8l,2024-12-19T11:09:40.552000,712.383,279,24,0.9015151515151515,5,0.3076923076923077,0.2857142857142857,26,29,29.385999999999967,,,0.39164325931416105,0.125,0.504863255,1.076923076923077,0.37813911070578554,0.4054126845974365,4.240204999610959,0.5381679389312977,3.694193613003174,3.613906631153823,3.705663181838796,0.083333333,0,0.095238095,2,0.4,4.169011793192949,0.7290076335877862,3.827214256519046,3.566152113473779,3.8645088483826555,0.29166666666666663,0,0.33333333333333337,2,0.4
