ID,reason
talerditest,Did not exploit
e,Did not exploit
9999 test,Did not exploit
talerditest,Game length too short
cnXgb2,Game length too short
e,Game length too short
fwe96v,Game length too short
999999,Game length too short
9999 test,Game length too short
talerditest,Game duration too short
cnXgb2,Game duration too short
e,Game duration too short
aWb5B4 ,Game duration too short
fwe96v,Game duration too short
209047653,Game duration too short
No ID Found,Game duration too short
999999,Game duration too short
abZCyt,Game duration too short
x8Q5jE1h,Game duration too short
326448545,Game duration too short
9999 test,Game duration too short
TeCqq9,Paused for too long
LSV8bI,Paused for too long
XxhvBz,Paused for too long
EWaC5J,Paused for too long
U5jUVr,Paused for too long
vQtQiu,Paused for too long
9CHQKL,Paused for too long
EXAMPLE,Paused for too long
x8Q5jE1h,Paused for too long
y4sAPf,Paused for too long
 gxxTvD,Paused for too long
27qTZY,Paused for too long
fg4reg,Paused for too long
